Date,Open,High,Low,Close,Adj Close,Volume
2021-07-20,50200.000000,51100.000000,50100.000000,50800.000000,48438.359375,1220986
2021-07-21,51100.000000,51500.000000,50600.000000,50600.000000,48247.652344,1087436
2021-07-22,51400.000000,52200.000000,51300.000000,51800.000000,49391.867188,1657259
2021-07-23,51900.000000,52500.000000,51300.000000,52200.000000,49773.269531,1366442
2021-07-26,52600.000000,52700.000000,51400.000000,51800.000000,49391.867188,907906
2021-07-27,52000.000000,52600.000000,51800.000000,52100.000000,49677.921875,1076839
2021-07-28,51700.000000,52600.000000,51600.000000,52500.000000,50059.324219,1101854
2021-07-29,53000.000000,53100.000000,52500.000000,52600.000000,50154.675781,1150868
2021-07-30,50600.000000,52000.000000,50500.000000,51300.000000,48915.109375,1698067
2021-08-02,51200.000000,51400.000000,50600.000000,50900.000000,48533.707031,1091630
2021-08-03,51100.000000,51600.000000,50600.000000,51600.000000,49201.164063,1043675
2021-08-04,52100.000000,52900.000000,51700.000000,52700.000000,50250.027344,1333664
2021-08-05,52400.000000,52900.000000,52000.000000,52000.000000,49582.570313,927728
2021-08-06,52500.000000,53300.000000,51900.000000,52200.000000,49773.269531,1270530
2021-08-09,52600.000000,53200.000000,52500.000000,53000.000000,50536.082031,1879902
2021-08-10,53200.000000,53200.000000,52100.000000,52300.000000,49868.621094,1162055
2021-08-11,52600.000000,53600.000000,52500.000000,53600.000000,51108.187500,1802909
2021-08-12,54000.000000,54000.000000,53100.000000,53400.000000,50917.484375,1578901
2021-08-13,53800.000000,53800.000000,52200.000000,53200.000000,50726.781250,1382277
2021-08-17,53500.000000,53600.000000,52700.000000,53200.000000,50726.781250,1440176
2021-08-18,53000.000000,53500.000000,52700.000000,53000.000000,50536.082031,917398
2021-08-19,52900.000000,52900.000000,51000.000000,51300.000000,48915.109375,1269467
2021-08-20,51400.000000,51800.000000,50200.000000,50800.000000,48438.359375,1843597
2021-08-23,50900.000000,51800.000000,50800.000000,51100.000000,48724.410156,1017940
2021-08-24,51500.000000,52600.000000,51400.000000,52500.000000,50059.324219,1402216
2021-08-25,53100.000000,53800.000000,52600.000000,53700.000000,51203.539063,1215743
2021-08-26,53900.000000,54700.000000,52900.000000,54200.000000,51680.292969,2216554
2021-08-27,54100.000000,54800.000000,53600.000000,54700.000000,52157.050781,1461836
2021-08-30,54800.000000,54800.000000,52500.000000,52500.000000,50059.324219,1885591
2021-08-31,52300.000000,53100.000000,51200.000000,52900.000000,50440.730469,2261916
2021-09-01,53300.000000,53400.000000,52700.000000,53100.000000,50631.429688,1121570
2021-09-02,52900.000000,53600.000000,52500.000000,53100.000000,50631.429688,1487899
2021-09-03,52900.000000,53200.000000,52600.000000,52900.000000,50440.730469,1134378
2021-09-06,52900.000000,52900.000000,51500.000000,51800.000000,49391.867188,1528452
2021-09-07,51600.000000,51900.000000,51200.000000,51400.000000,49010.460938,993703
